name,lon,lat
Singapore,103.851,1.290
Port Klang,101.391,3.005
Tanjung Pelepas,103.549,1.362
Ho Chi Minh City,106.700,10.762
Vung Tau,107.084,10.346
Manila,120.980,14.590
Kaohsiung,120.302,22.613
Hong Kong,114.170,22.320
Shenzhen (Yantian),114.267,22.583
Guangzhou,113.535,22.960
Xiamen,118.089,24.480
Haikou,110.199,20.044
Zhanjiang,110.406,21.197
Bangkok (Laem Chabang),100.883,13.081
Sihanoukville,103.500,10.633
Brunei (Muara),115.064,5.017
Kota Kinabalu,116.072,5.980
Bintulu,113.043,3.166
Sandakan,118.117,5.840
Iloilo,122.573,10.696
